sample_name,flowcell,lane,BSF_name
CLL_CM_H3K27ac_3873_1-5-606_CM36-17_hg19,BSF_0197_H5JTNBBXX,3,H3K27ac_CLL_3873_1_5_606_CM_CM36_17
CLL_CM_H3K27ac_3873_1-5-606_CM36-17_hg19,BSF_0188_H3GKMBBXX,8,H3K27ac_CLL_3873_1_5_606_CM_CM36_17
CLL_CM_H3K27me3_3873_1-5-606_CM36-19_hg19,BSF_0197_H5JTNBBXX,3,H3K27me3_CLL_3873_1_5_606_CM_CM36_19
CLL_CM_H3K27me3_3873_1-5-606_CM36-19_hg19,BSF_0188_H3GKMBBXX,8,H3K27me3_CLL_3873_1_5_606_CM_CM36_19
CLL_CM_H3K4me1_3873_1-5-606_CM36-18_hg19,BSF_0197_H5JTNBBXX,3,H3K4me1_CLL_3873_1_5_606_CM_CM36_18
CLL_CM_H3K4me1_3873_1-5-606_CM36-18_hg19,BSF_0188_H3GKMBBXX,8,H3K4me1_CLL_3873_1_5_606_CM_CM36_18
CLL_CM_IgG_3873_1-5-606_CM36-20_hg19,BSF_0197_H5JTNBBXX,3,IgG_CLL_3873_1_5_606_CM_CM36_20
CLL_CM_IgG_3873_1-5-606_CM36-20_hg19,BSF_0188_H3GKMBBXX,8,IgG_CLL_3873_1_5_606_CM_CM36_20
CLL_CM_H3K27ac_1781_1-5-1614_CM36-21_hg19,BSF_0197_H5JTNBBXX,3,H3K27ac_CLL_1781_1_5_1614_CM_CM36_21
CLL_CM_H3K27ac_1781_1-5-1614_CM36-21_hg19,BSF_0188_H3GKMBBXX,8,H3K27ac_CLL_1781_1_5_1614_CM_CM36_21
CLL_CM_H3K27me3_1781_1-5-1614_CM36-23_hg19,BSF_0197_H5JTNBBXX,3,H3K27me3_CLL_1781_1_5_1614_CM_CM36_23
CLL_CM_H3K27me3_1781_1-5-1614_CM36-23_hg19,BSF_0188_H3GKMBBXX,8,H3K27me3_CLL_1781_1_5_1614_CM_CM36_23
CLL_CM_H3K4me1_1781_1-5-1614_CM36-22_hg19,BSF_0197_H5JTNBBXX,3,H3K4me1_CLL_1781_1_5_1614_CM_CM36_22
CLL_CM_H3K4me1_1781_1-5-1614_CM36-22_hg19,BSF_0188_H3GKMBBXX,8,H3K4me1_CLL_1781_1_5_1614_CM_CM36_22
CLL_CM_IgG_1781_1-5-1614_CM36-24_hg19,BSF_0197_H5JTNBBXX,3,IgG_CLL_1781_1_5_1614_CM_CM36_24
CLL_CM_IgG_1781_1-5-1614_CM36-24_hg19,BSF_0188_H3GKMBBXX,8,IgG_CLL_1781_1_5_1614_CM_CM36_24
